Operator,Bitwidth,Frequency_MHz,clock_period,Converters,Slack_ns,LUTs,Registers,DSPs,BRAMs,SRLs,max_latency,Real_Required_Clock_Period_ns
Multiplier,32,300,3.33333333333333333333,noIO,0.458,398,153,1,0,0,2,2.87533333333333333333
Multiplier,32,800,1.25000000000000000000,noIO,-0.784,459,447,1,0,137,26,2.03400000000000000000
Adder,64,100,10.00000000000000000000,noIO,0.932,839,198,0,0,0,2,9.06800000000000000000
Subtractor,32,800,1.25000000000000000000,noIO,-1.522,452,629,0,0,154,36,2.77200000000000000000
Subtractor,64,300,3.33333333333333333333,noIO,-0.316,387,255,0,0,20,7,3.64933333333333333333
Subtractor,64,500,2.00000000000000000000,noIO,-0.922,419,354,0,0,35,12,2.92200000000000000000
Subtractor,64,800,1.25000000000000000000,noIO,-1.522,452,629,0,0,154,59,2.77200000000000000000
Multiplier,64,300,3.33333333333333333333,noIO,-0.909,1016,510,6,0,2,3,4.24233333333333333333
Divider,64,800,1.25000000000000000000,noIO,-3.095,3464,8588,0,0,264,63,4.34500000000000000000
Multiplier,64,800,1.25000000000000000000,noIO,-0.796,1250,1190,6,0,352,56,2.04600000000000000000
Multiplier,64,500,2.00000000000000000000,noIO,-0.758,1038,897,6,0,19,6,2.75800000000000000000
Adder,32,800,1.25000000000000000000,noIO,-1.548,451,635,0,0,154,36,2.79800000000000000000
Multiplier,32,500,2.00000000000000000000,noIO,-0.783,372,224,1,0,2,4,2.78300000000000000000
Divider,32,300,3.33333333333333333333,noIO,-3.296,761,610,0,0,36,9,6.62933333333333333333
Adder,32,500,2.00000000000000000000,noIO,-0.922,419,354,0,0,35,10,2.92200000000000000000
Adder,64,800,1.25000000000000000000,noIO,-2.032,834,1316,0,0,329,59,3.28200000000000000000
Divider,32,800,1.25000000000000000000,noIO,-2.652,939,1671,0,0,51,27,3.90200000000000000000
Divider,32,500,2.00000000000000000000,noIO,-1.812,956,1088,0,0,44,15,3.81200000000000000000
Adder,32,300,3.33333333333333333333,noIO,-0.316,387,255,0,0,20,6,3.64933333333333333333
Divider,64,500,2.00000000000000000000,noIO,-2.398,3314,5115,0,0,111,36,4.39800000000000000000
Subtractor,32,500,2.00000000000000000000,noIO,-0.922,419,354,0,0,35,10,2.92200000000000000000
Divider,64,300,3.33333333333333333333,noIO,-3.526,2675,2798,0,0,87,20,6.85933333333333333333
Divider,64,100,10.00000000000000000000,noIO,-6.008,2261,983,0,0,60,6,16.00800000000000000000
Divider,32,100,10.00000000000000000000,noIO,-4.152,678,215,0,0,0,2,14.15200000000000000000
Adder,32,100,10.00000000000000000000,noIO,0.932,839,198,0,0,0,1,9.06800000000000000000
Subtractor,32,300,3.33333333333333333333,noIO,-0.316,387,255,0,0,20,6,3.64933333333333333333
Adder,64,500,2.00000000000000000000,noIO,-0.705,860,868,0,0,72,12,2.70500000000000000000
Adder,64,300,3.33333333333333333333,noIO,-1.758,801,554,0,0,39,7,5.09133333333333333333
